title,isbn,price_eur,shop_link,google_search_link,shop,date_scraped
Кот в сапогах (по слогам),9785389053908,7.08,https://notrelocus.com/products/кот-в-сапогах,https://www.google.com/search?q=9785389053908,notre_locus,2026-03-29
Золушка (по слогам),9785389125735,7.07,https://notrelocus.com/products/золушка,https://www.google.com/search?q=9785389125735,notre_locus,2026-03-29
Петушок и бобовое зёрнышко (по слогам),9785389055322,9.43,https://notrelocus.com/products/петушок-и-бобовое-зёрнышко,https://www.google.com/search?q=9785389055322,notre_locus,2026-03-29
Бременские музыканты (по слогам),9785389125711,7.08,https://notrelocus.com/products/бременские-музыканты,https://www.google.com/search?q=9785389125711,notre_locus,2026-03-29
Белоснежка (по слогам),9785389053892,7.07,https://notrelocus.com/products/белоснежка,https://www.google.com/search?q=9785389053892,notre_locus,2026-03-29
Сестрица Алёнушка и братец Иванушка (по слогам),9785389055209,7.07,https://notrelocus.com/products/сестрица-алёнушка-и-братец-иванушка,https://www.google.com/search?q=9785389055209,notre_locus,2026-03-29
Крошечка-Хаврошечка (по слогам),9785389125698,7.07,https://notrelocus.com/products/крошечка-хаврошечка,https://www.google.com/search?q=9785389125698,notre_locus,2026-03-29
Гуси-лебеди (по слогам),9785389052970,7.07,https://notrelocus.com/products/гуси-лебеди,https://www.google.com/search?q=9785389052970,notre_locus,2026-03-29
Лисичка-сестричка и волк (по слогам),9785389124691,7.07,https://notrelocus.com/products/лисичка-сестричка-и-волк,https://www.google.com/search?q=9785389124691,notre_locus,2026-03-29
Волк и коза (по слогам),9785389052963,7.07,https://notrelocus.com/products/волк-и-коза,https://www.google.com/search?q=9785389052963,notre_locus,2026-03-29
Баба-яга (по слогам),9785389164376,7.07,https://notrelocus.com/products/баба-яга,https://www.google.com/search?q=9785389164376,notre_locus,2026-03-29
Русалочка. Сказка  (по слогам),9785389211216,7.07,https://notrelocus.com/products/русалочка-сказка,https://www.google.com/search?q=9785389211216,notre_locus,2026-03-29
Принцесса на горошине (по слогам),9785389076846,7.07,https://notrelocus.com/products/принцесса-на-горошине,https://www.google.com/search?q=9785389076846,notre_locus,2026-03-29
